SETTLEMENT DATE|CUSIP|SYMBOL|QUANTITY (FAILS)|DESCRIPTION|PRICE
20200302|M51363113|MLNX|25018|MELLANOX TECHNOLOGIES, LTD ORD|119.42
20200302|M52514102|HAIPF|35|HADERA PAPER LTD SHS (ISRAEL) |31.70
20200302|M52523103|WILC|1102|G.WILLI-FOOD INTL INC|13.32
20200302|M5425M103|INMD|15291|INMODE LTD SHS|32.94
20200302|M56595149|IGLDF|1|INTERNET GOLD-GOLDEN LINES LTD|3.50
20200302|M5920A109|ICL|24873|ISRAEL CHEMICALS LTD (ISRAEL) |3.71
20200302|M6786D104|MAGS|579|MAGAL SECURITY SYSTEMS LTD-ORD|3.70
20200302|M81863124|RADA|4277|RADA ELECTRONIC INDUSTRIES LTD|4.96
20200302|M84116108|SILC|13764|SILICOM LTD|30.80
20200302|M85548101|SSYS|17787|STRATASYS LTD ORD SHS (ISRAEL)|16.00
20200302|M8790Y108|TOMDF|8966|TODOS MED LTD (ISRAEL)|0.03
20200302|M98068105|WIX|64|WIX.COM LTD ORDINARY SHS|134.03
20200302|N00985106|AER|2013|AERCAP HOLDINGS NV ORD SHS|52.08
20200302|N07059210|ASML|4584|ASML HOLDING NV NY REG SHS NEW|276.71
20200302|N22717107|CLB|7146|CORE LABS N.V.|26.84
20200302|N3167Y103|RACE|50939|FERRARI N V NEW COM SHS (NLD) |157.75
20200302|N31738102|FCAU|395624|FIAT CHRYSLER AUTOMOBILES N V |12.44
20200302|N44821101|IFRX|16101|INFLARX N V COM (NLD)|4.24
20200302|N47279109|INXN|6293|INTERXION HOLDING N.V ORD SHS |84.89
20200302|N59465109|MYL|625|MYLAN N V SHS EURO|17.19
20200302|N6596X109|NXPI|1611|NXP SEMICONDUCTORS N V|113.69
20200302|N70544106|PLYA|567|PLAYA HOTELS & RESORTS N V ORD|5.30
20200302|N97284108|YNDX|2636|YANDEX N V CL A ORD SHS (NLD) |40.61
20200302|P3569M101|DDMX|1500|DD3 ACQUISITION CORP S A DE CV|10.00
20200302|P3569M119|DDMXW|1335|DD3 ACQUISITION CORP S A DE CV|0.45
20200302|P73398102|NYMX|89|NYMOX PHARMACEUTICAL CORP COM |2.86
20200302|P73684113|OSW|14609|ONESPAWORLD HLDGS LTD COM SHS |12.22
20200302|Q49376108|IMTE|228|INTEGRATED MEDIA TECHNOLOGY LT|5.08
20200302|Q6519T117|NAKD|6135|NAKED BRAND GROUP LTD SHS NEW |0.47
20200302|V0393H103|AZRE|2892|AZURE PWR GLOBAL LTD SHS (MUS)|16.00
20200302|V7780T103|RCL|23197|ROYAL CARIBBEAN CRUISES LTD|80.41
20200302|Y0436Q109|ATCO|3347|ATLAS CORP COM (MHL)|10.60
20200302|Y1968P121|DAC|14998|DANAOS CORPORATION SHS NEW (MH|5.04
20200302|Y2687W108|GLOP|34106|GASLOG PARTNERS LP UNIT LTD PA|3.79
20200302|Y27183121|GSLPRB|500|GLOBAL SHIP LEASE INC NEW DEPO|19.93
20200302|Y27265407|GLBS|7360|GLOBUS MARITIME LIMITED COM (M|0.45
20200302|Y2745C102|GMLP|50000|GOLAR LNG PARTNERS LP COM UIT |4.25
20200302|Y2745C110|GMLPP|454|GOLAR LNG PARTNERS LP REDEEMAB|19.80
20200302|Y3262R118|HMLPPRA|1432|HOEGH LNG PARTNERS LP CUM RED |24.90
20200302|Y48125101|KNOP|622|KNOT OFFSHORE PARTNERS LP COM |16.35
20200302|Y62151108|NMCI|13138|NAVIOS MARITIME CONTAINERS LP |1.14
20200302|Y62159143|NNA|623|NAVIOS MARITIME ACQUISITION CO|5.04
20200302|Y67305105|DCIX|2533|PERFORMANCE SHIPPING INC COM (|0.55
20200302|Y73760145|SHIPW|18|SEANERGY MARITIME HOLDINGS CO |.
20200302|Y8162K204|SBLK|105571|STAR BULK CARRIERS CORP SH PAR|8.67
20200302|Y8162K303|SBLKZ|8000|STAR BULK CARRIERS CORP SR NTS|25.05
20200302|Y8564M105|TGP|3417|TEEKAY LNG PARTNERS L.P. COM U|12.57
20200302|Y8564M113|TGPPRA|815|TEEKAY LNG PARTNERS L P PERP P|25.01
20200302|Y8564W103|TK|11650|TEEKAY CORPORATION (MARSHALL I|3.66
20200302|Y8565N300|TNK|70768|TEEKAY TANKERS LTD SHS A NEW|16.55
20200302|Y95308105|WVE|5990|WAVE LIFE SCIENCES LTD ORD SHS|8.44
20200302|000307108|AACH|1372|AAC HLDGS INC COM STK (NV)|0.30
20200302|000360206|AAON|3|AAON INC|55.01
20200302|000375204|ABB|7206|ABB LTD ADS ( 1 REG SHS)|21.64
20200302|000380105|ABCZY|606|ABCAM PLC UNSPON ADR (UK)|14.80
20200302|00087D107|AMCY|15|ACS GLOBAL, INC. COMMON STOCK |4.90
20200302|000899104|ADMA|6162|ADMA BIOLOGICS INC COM|2.92
20200302|00090Q103|ADT|10115|ADT INC DEL|6.39
20200302|000957100|ABM|153|ABM INDUSTRIES INC|32.92
20200302|00101U101|ADGS|2328|ADGS ADVISORY INC COM STK (DE)|6.30
20200302|001055102|AFL|4331|AFLAC INC|42.85
20200302|001084102|AGCO|71|AGCO CORP|60.43
20200302|00109C103|ASGLY|5247|AGC INC (JAPAN)|5.46
20200302|00110G408|BTAL|18870|AGF INVTS TR AGFIQ US MKT NEUT|23.51
20200302|00110G606|GLIF|465|AGF INVTS TR FQF TR AGFIQ GLOB|25.13
20200302|001201201|AGLXY|5|AGL ENERGY LTD (AUSTRALIA)|12.29
20200302|001228204|MITTPRA|119|AG MTG INVT TR INC8.25% PFD SE|25.12
20200302|001228402|MITTPRC|133|AG MTG INVT TR INC|25.26
20200302|00123Q104|AGNC|18463|AGNC INVT CORP COM|17.04
20200302|00123Q872|AGNCP|1100|AGNC INVT CORP DEP SHS REPSTG |24.24
20200302|00130H105|AES|275|THE AES CORPORATION|16.73
20200302|00135T104|AIBGY|500|AIB GROUP PLC (IRELAND)|4.57
20200302|00162Q478|DTEC|4600|ALPS ETF TR DISRUPTIVE TECHNOL|30.82
20200302|00162Q510|RFFC|720|ALPS ETF TR RIVERFRONT DYNAMIC|31.82
20200302|00162Q676|ENFR|2630|ALERIAN ENERGY INFRASTRUCTURE |17.48
20200302|00162Q718|IDOG|12143|ALPS ETF TR INTL SECTOR DIVID |23.93
20200302|001627108|ALJJ|1081|ALJ Regional Holdings, Inc. Co|0.91
20200302|00163U106|AMAG|466|AMAG PHARMACEUTICALS INC COM S|7.75
20200302|00164V103|AMCX|34|AMC NETWORKS INC CLASS A COM|31.00
20200302|00165C104|AMC|50219|AMC ENTMT HLDGS INC CL A COM S|6.26
20200302|00165R101|AMCI|311|AMCI ACQUISITION CORP CL A|10.18
20200302|00180G106|HKIB|2|AMTD INTL INC SPONSORED ADS|8.50
20200302|00183L102|ANGI|110507|HOMESERVICES INC. CLASS A COMM|7.13
20200302|00206R102|T|79415|AT&T INC. COM|35.22
20200302|00206R508|TPRA|2975|AT&T INC DEP SHS REPSTG 1/1000|24.88
20200302|00206R706|TPRC|741|AT&T INC DEP SHS REPSTG 1/1000|24.39
20200302|00212G108|ASMVY|1102|Asm Pacific Technology Ltd Uns|35.76
20200302|00212V105|ASOMY|1|ASOS PLC UNSPON ADR (UK)|38.24
20200302|00213H105|ARCW|931|ARC GROUP WORLDWIDE INC COM ST|0.18
20200302|00214Q104|ARKK|11522|ARK ETF TR INNOVATION ETF (DE)|52.84
20200302|00214Q302|ARKG|7488|ARK GENOMIC REVOLUTION ETF (DE|34.39
20200302|00214Q609|IZRL|128|ARK ETF TR ISREAL INNOVATIVE T|21.35
20200302|002444107|AVX|100|AVX CORP|21.74
20200302|002474104|AZZ|767|AZZ INC COM|36.89
20200302|00249N100|AYRSF|251|AYR STRATEGIES INC SUB VTG SH |9.20
20200302|002535300|AAN|27|AARON'S INC COM STK|39.33
20200302|00287Y109|ABBV|3989|ABBVIE INC COM STK (DE)|85.71
20200302|00289Y107|ABEO|320953|ABEONA THERAPEUTICS INC|3.08
